Class;Order;Family;Species;Species;;;Female;;;Male;;;Undetermined;;
;;;;Average weight (gr);SD (gr);n;Average weight (gr);SD (gr);n;Average weight (gr);SD (gr);n;Average weight (gr);SD (gr);n
Aves;Cuculiformes;Cuculidae;Crotophaga sulcirostris;64;2;2;62;0;1;67;0;1;;;
Aves;Cuculiformes;Cuculidae;Tapera naevia;47;3;5;45;0;1;50;0;1;47;3;3
Aves;Cuculiformes;Cuculidae;Dromococcyx pavoninus;60;0;1;;;;;;;60;0;1
Aves;Cuculiformes;Cuculidae;Coccycua minuta;37;3;11;37;2;6;38;3;4;30;0;1
Aves;Cuculiformes;Cuculidae;Piaya cayana;105;6;18;108;7;3;103;6;9;106;4;6
Aves;Cuculiformes;Cuculidae;Piaya melanogaster;93;0;1;;;;93;0;1;;;
Aves;Cuculiformes;Cuculidae;Coccyzus melacoryphus;40;0;1;;;;40;0;1;;;
Aves;Cuculiformes;Cuculidae;Coccyzus americanus;48;5;65;43;2;2;51;5;7;47;5;56
Aves;Cuculiformes;Cuculidae;Coccyzus erythropthalmus;49;0;1;;;;49;0;1;;;
Aves;Steatornithiformes;Steatornithidae;Steatornis caripensis;347;136;12;400;36;4;342;104;3;309;182;5
Aves;Nyctibiiformes;Nyctibiidae;Nyctibius grandis;461;17;2;;;;461;17;2;;;
Aves;Nyctibiiformes;Nyctibiidae;Nyctibius aethereus;285;0;1;;;;285;0;1;;;
Aves;Nyctibiiformes;Nyctibiidae;Nyctibius griseus;205;2;3;;;;205;2;3;;;
Aves;Caprimulgiformes;Caprimulgidae;Chordeiles nacunda;145;15;9;150;13;4;150;11;3;128;7;2
Aves;Caprimulgiformes;Caprimulgidae;Chordeiles pusillus;28;5;10;29;2;2;28;4;3;28;6;5
Aves;Caprimulgiformes;Caprimulgidae;Chordeiles acutipennis;49;4;3;49;4;3;;;;;;
Aves;Caprimulgiformes;Caprimulgidae;Chordeiles minor;58;19;2;;;;58;19;2;;;
Aves;Caprimulgiformes;Caprimulgidae;Nyctiprogne leucopyga;22;4;7;22;2;2;20;5;3;25;1;2
Aves;Caprimulgiformes;Caprimulgidae;Nyctipolus nigrescens;34;1;3;35;1;2;34;0;1;;;
Aves;Caprimulgiformes;Caprimulgidae;Systellura longirostris;38;9;8;39;4;2;39;9;4;35;11;2
Aves;Caprimulgiformes;Caprimulgidae;Nyctidromus albicollis;48;7;30;48;6;10;48;6;17;47;8;3
Aves;Caprimulgiformes;Caprimulgidae;Uropsalis segmentata;37;0;1;;;;37;0;1;;;
Aves;Caprimulgiformes;Caprimulgidae;Uropsalis lyra;31;0;1;31;0;1;;;;;;
Aves;Caprimulgiformes;Caprimulgidae;Hydropsalis cayennensis;37;2;6;37;2;3;37;2;2;35;0;1
Aves;Caprimulgiformes;Caprimulgidae;Hydropsalis maculicaudus;30;3;7;29;3;4;31;2;3;;;
Aves;Caprimulgiformes;Caprimulgidae;Nyctiphrynus rosenbergi;45;4;2;;;;;;;45;4;2
Aves;Caprimulgiformes;Caprimulgidae;Antrostomus carolinensis;105;11;3;92;0;1;119;0;1;105;0;1
Aves;Caprimulgiformes;Caprimulgidae;Antrostomus rufus;92;0;1;;;;;;;92;0;1
Aves;Apodiformes;Apodidae;Streptoprocne rutila;22;1;2;22;1;2;;;;;;
Aves;Apodiformes;Apodidae;Streptoprocne zonaris;96;8;14;96;10;6;97;6;7;84;0;1
Aves;Apodiformes;Apodidae;Chaetura brachyura;25;2;3;26;2;2;;;;24;0;1
Aves;Apodiformes;Apodidae;Tachornis squamata;10;0;2;10;0;1;11;0;1;;;
Aves;Apodiformes;Trochilidae;Topaza pyra;12;1;2;11;0;1;12;0;1;;;
Aves;Apodiformes;Trochilidae;Florisuga mellivora;7;1;86;7;1;20;7;1;63;7;0;3
Aves;Apodiformes;Trochilidae;Eutoxeres aquila;11;1;260;10;1;14;11;1;10;11;1;236
Aves;Apodiformes;Trochilidae;Eutoxeres condamini;10;4;3;9;4;2;13;0;1;;;
Aves;Apodiformes;Trochilidae;Glaucis aeneus;6;1;9;5;1;5;7;0;3;5;0;1
Aves;Apodiformes;Trochilidae;Glaucis hirsutus;7;1;243;6;1;25;7;1;46;7;1;172
Aves;Apodiformes;Trochilidae;Threnetes ruckeri;7;1;93;6;0;11;6;1;8;7;1;74
Aves;Apodiformes;Trochilidae;Threnetes leucurus;5;0;12;5;1;6;6;0;3;5;0;3
Aves;Apodiformes;Trochilidae;Phaethornis rupurumii;3;0;13;3;0;2;3;0;5;3;0;6
Aves;Apodiformes;Trochilidae;Phaethornis atrimentalis;3;0;7;3;0;1;3;0;3;3;0;3
Aves;Apodiformes;Trochilidae;Phaethornis striigularis;3;0;87;3;0;6;2;0;10;3;0;71
