"RecordType","Sex","Weight","ReferenceW","DifferenceW.RefW","Latitude","Logitude"
"Capture-release","Male",19.27,16.7,2.57,3.5762333,-76.8812333
"Capture-release","Female",17.87,16.7,1.17,3.5762333,-76.8812333
"Capture-release","Female",18.77,16.7,2.07,3.5762333,-76.8812333
"Capture-release","Male",19.2,16.7,2.5,3.5762333,-76.8812333
"Capture-release","Female",18.45,16.7,1.75,3.5762333,-76.8812333
"Capture-release","Undetermined",19.11,16.7,2.41,3.5762333,-76.8812333
"Capture-release","Female",17.11,16.7,0.41,3.5762333,-76.8812333
"Capture-release","Female",20.14,16.7,3.44,3.5762333,-76.8812333
"Capture-release","Male",19.55,16.7,2.85,3.5762333,-76.8812333
"Capture-release","Male",18.9,16.7,2.2,3.5762333,-76.8812333
"Capture-release","Male",19.9,16.7,3.2,3.5762333,-76.8812333
"Capture-release","Female",16.98,16.7,0.28,3.5762333,-76.8812333
"Capture-release","Female",17.87,16.7,1.17,3.54127,-76.87829
"Capture-release","Female",15.88,16.7,-0.82,3.54127,-76.87829
"Capture-release","Female",18.43,16.7,1.73,3.60115,-76.8956333
"Capture-release","Female",16.09,16.7,-0.61,3.60115,-76.8956333
"Capture-release","Female",18.03,16.7,1.33,3.60115,-76.8956333
"Capture-release","Female",20.23,16.7,3.53,3.60115,-76.8956333
"Capture-release","Female",17.52,16.7,0.82,3.5524167,-76.8913667
"Capture-release","Female",18.63,16.7,1.93,3.5524167,-76.8913667
"Capture-release","Female",15.81,16.7,-0.89,3.5524167,-76.8913667
"Capture-release","Female",16.59,16.7,-0.11,3.5524167,-76.8913667
"Capture-release","Female",16.62,16.7,-0.08,3.5524167,-76.8913667
"Capture-release","Female",15.64,16.7,-1.06,3.5524167,-76.8913667
"Capture-release","Female",17.8,16.7,1.1,3.5524167,-76.8913667
"Capture-release","Undetermined",15.18,16.7,-1.52,6.9059,-74.5765167
"Capture-release","Undetermined",15.8,16.7,-0.9,6.9059,-74.5765167
"Capture-release","Undetermined",16.03,16.7,-0.67,6.9059,-74.5765167
"Capture-release","Undetermined",14.32,16.7,-2.38,6.9059,-74.5765167
"Capture-release","Female",16.76,16.7,0.06,6.9059,-74.5765167
"Capture-release","Female",18.7,16.7,2,6.9059,-74.5765167
"Capture-release","Male",18.44,16.7,1.74,6.9059,-74.5765167
"Capture-release","Undetermined",15.88,16.7,-0.82,6.9059,-74.5765167
"Capture-release","Undetermined",16.67,16.7,-0.03,6.9059,-74.5765167
"Capture-release","Female",15.75,16.7,-0.95,6.9059,-74.5765167
"Capture-release","Undetermined",16.36,16.7,-0.34,6.9059,-74.5765167
"Capture-release","Undetermined",15.55,16.7,-1.15,6.9059,-74.5765167
"Capture-release","Undetermined",15.78,16.7,-0.92,6.9059,-74.5765167
"Capture-release","Undetermined",16.58,16.7,-0.12,6.9059,-74.5765167
"Capture-release","Male",17.94,16.7,1.24,6.9059,-74.5765167
"Capture-release","Female",15.25,16.7,-1.45,6.9059,-74.5765167
"Capture-release","Undetermined",16.45,16.7,-0.25,6.9059,-74.5765167
"Capture-release","Female",15.82,16.7,-0.88,6.9059,-74.5765167
"Capture-release","Female",19.83,16.7,3.13,5.2199722,-76.0792778
"Capture-release","Female",17.17,16.7,0.47,5.2561944,-76.1135556
"Capture-release","Female",17,16.7,0.3,5.2561944,-76.1135556
"Capture-release","Female",15.62,16.7,-1.08,5.2561944,-76.1135556
"Capture-release","Male",17.85,16.7,1.15,5.2561944,-76.1135556
"Capture-release","Female",16.28,16.7,-0.42,5.2863,-76.07359
"Capture-release","Male",18.5,16.7,1.8,5.2863,-76.07359
"Capture-release","Female",17.49,16.7,0.79,5.2231944,-76.0801667
"Capture-release","Female",15.93,16.7,-0.77,5.2199722,-76.0792778
"Capture-release","Female",18.3,16.7,1.6,3.54127,-76.87829
"Capture-release","Undetermined",17.63,16.7,0.93,3.54127,-76.87829
"Capture-release","Female",17.89,16.7,1.19,3.54127,-76.87829
"Capture-release","Undetermined",17.42,16.7,0.72,3.54127,-76.87829
"Capture-release","Undetermined",16.09,16.7,-0.61,3.54127,-76.87829
"Capture-release","Undetermined",16.73,16.7,0.03,3.54127,-76.87829
"Capture-release","Female",18.56,16.7,1.86,5.2863,-76.07359
"Capture-release","Female",16.85,16.7,0.15,5.2863,-76.07359
"Capture-release","Female",14,16.7,-2.7,5.6712639,-74.7786028
"Capture-release","Male",14,16.7,-2.7,5.6712639,-74.7786028
"Capture-release","Female",15,16.7,-1.7,5.6712639,-74.7786028
"Capture-release","Female",16,16.7,-0.7,5.1391056,-75.7211889
"Capture-release","Undetermined",16,16.7,-0.7,5.1391056,-75.7211889
"Capture-release","Female",16,16.7,-0.7,5.6712639,-74.7786028
"Capture-release","Undetermined",16,16.7,-0.7,5.6712639,-74.7786028
"Capture-release","Male",17,16.7,0.3,5.6712639,-74.7786028
"Capture-release","Female",17,16.7,0.3,5.6712639,-74.7786028
"Capture-release","Female",17,16.7,0.3,5.6712639,-74.7786028
"Capture-release","Male",18,16.7,1.3,5.6005333,-74.9473917
"Capture-release","Female",18,16.7,1.3,5.0534694,-75.7335361
"Capture-release","Female",18,16.7,1.3,5.0534694,-75.7335361
"Capture-release","Female",18,16.7,1.3,5.1391056,-75.7211889
"Capture-release","Undetermined",18,16.7,1.3,5.1391056,-75.7211889
"Capture-release","Female",18,16.7,1.3,5.6712639,-74.7786028
"Capture-release","Male",18,16.7,1.3,5.6712639,-74.7786028
"Capture-release","Male",18,16.7,1.3,5.6712639,-74.7786028
"Capture-release","Male",18,16.7,1.3,5.6712639,-74.7786028
"Capture-release","Male",18,16.7,1.3,5.6712639,-74.7786028
"Capture-release","Male",19,16.7,2.3,5.0534694,-75.7335361
"Capture-release","Undetermined",19,16.7,2.3,5.6005333,-74.9473917
"Capture-release","Female",19,16.7,2.3,5.1391056,-75.7211889
"Capture-release","Male",19,16.7,2.3,5.1391056,-75.7211889
"Capture-release","Male",19,16.7,2.3,5.1391056,-75.7211889
"Capture-release","Female",19,16.7,2.3,5.1391056,-75.7211889
"Capture-release","Male",19,16.7,2.3,5.1391056,-75.7211889
"Capture-release","Undetermined",19,16.7,2.3,5.1391056,-75.7211889
"Capture-release","Male",20,16.7,3.3,5.1391056,-75.7211889
"Capture-release","Male",20,16.7,3.3,5.1391056,-75.7211889
"Capture-release","Male",20,16.7,3.3,5.1391056,-75.7211889
"Capture-release","Male",20,16.7,3.3,5.1391056,-75.7211889
"Capture-release","Male",20,16.7,3.3,5.1391056,-75.7211889
"Capture-release","Male",20,16.7,3.3,5.1391056,-75.7211889
"Capture-release","Female",20,16.7,3.3,5.1391056,-75.7211889
"Capture-release","Male",21,16.7,4.3,5.1391056,-75.7211889
"Preserved specimen","Male",16.3,16.7,-0.4,7.40238,-73.766933
"Preserved specimen","Male",15.8,16.7,-0.9,7.40238,-73.766933
"Preserved specimen","Male",14.8,16.7,-1.9,7.40238,-73.766933
"Preserved specimen","Female",13.6,16.7,-3.1,7.40238,-73.766933
"Preserved specimen","Male",16.4,16.7,-0.3,7.40238,-73.766933
"Preserved specimen","Male",17.3,16.7,0.6,7.40238,-73.766933
"Preserved specimen","Female",14.1,16.7,-2.6,6.4041667,-74.09
"Preserved specimen","Female",15.3,16.7,-1.4,6.3913889,-74.125
"Preserved specimen","Female",12.1,16.7,-4.6,6.3913889,-74.125
"Preserved specimen","Female",11.9,16.7,-4.8,6.3913889,-74.125
"Preserved specimen","Female",12.1,16.7,-4.6,6.06838,-74.21342
"Preserved specimen","Male",13.1,16.7,-3.6,6.07247,-74.21339
"Preserved specimen","Male",16.9,16.7,0.2,7.060809,-74.197593
"Preserved specimen","Female",12.8,16.7,-3.9,7.0626,-74.20064
"Preserved specimen","Male",12.7,16.7,-4,7.0626,-74.20064
"Preserved specimen","Female",13.2,16.7,-3.5,7.0626,-74.20064
"Preserved specimen","Female",13,16.7,-3.7,7.0626,-74.20064
"Preserved specimen","Male",15.7,16.7,-1,7.0626,-74.20064
"Preserved specimen","Male",14.3,16.7,-2.4,7.0626,-74.20064
"Preserved specimen","Male",17,16.7,0.3,7.0626,-74.20064
"Preserved specimen","Female",14,16.7,-2.7,7.0626,-74.20064
"Preserved specimen","Male",14.2,16.7,-2.5,7.0626,-74.20064
"Preserved specimen","Female",14.8,16.7,-1.9,7.0626,-74.20064
"Preserved specimen","Female",14.7,16.7,-2,7.06268,-74.2083
"Preserved specimen","Undetermined",12.4,16.7,-4.3,7.06268,-74.2083
"Preserved specimen","Female",13.4,16.7,-3.3,7.06268,-74.2083
"Preserved specimen","Female",13.1,16.7,-3.6,7.06268,-74.2083
"Preserved specimen","Female",14.4,16.7,-2.3,7.06268,-74.2083
"Preserved specimen","Male",16.6,16.7,-0.1,7.06335,-74.20577
"Preserved specimen","Female",12.9,16.7,-3.8,7.06356,-74.20383
"Preserved specimen","Female",13.5,16.7,-3.2,7.06356,-74.20383
"Preserved specimen","Undetermined",15.3,16.7,-1.4,7.06356,-74.20383
"Preserved specimen","Male",16.4,16.7,-0.3,7.06335,-74.20577
"Preserved specimen","Undetermined",16.5,16.7,-0.2,7.06356,-74.20383
"Preserved specimen","Male",17.8,16.7,1.1,7.06268,-74.2083
"Capture-release","Male",19,16.7,2.3,11.23527,-73.797807
"Capture-release","Female",17.1,16.7,0.4,11.23527,-73.797807
"Capture-release","Male",18.7,16.7,2,11.23527,-73.797807
"Capture-release","Undetermined",17.8,16.7,1.1,11.23527,-73.797807
"Capture-release","Male",17,16.7,0.3,11.23527,-73.797807
"Capture-release","Male",18.7,16.7,2,11.23527,-73.797807
"Capture-release","Male",18,16.7,1.3,11.23527,-73.797807
"Capture-release","Female",17.9,16.7,1.2,11.23527,-73.797807
"Capture-release","Male",17.7,16.7,1,11.23527,-73.797807
