Phase,Nephelometer Reading,Dry Weight (mg) in 50cc,Dry Weight (mg/L) per 10 OD Units
Exponential,31.0,1.2,7.7
Exponential,34.6,1.3,7.5
Exponential,40.0,1.6,8.0
Exponential,35.2,1.3,7.4
Maximum,57.5,2.1,7.3
Maximum,56.5,2.2,7.8
Maximum,57.0,2.2,7.4
Maximum,56.8,2.1,7.4
