intvn,intvs,volgnum
9.226933,11.571072,266
8.129676,7.98005,267
11.9202,7.032419,268
8.179551,7.281796,269
10.024938,6.832918,270
10.773067,8.179551,271
4.438903,14.014963,272
5.685786,7.630923,273
7.630923,8.528678,274
7.331671,8.179551,275
9.177057,9.775561,276
10.42394,10.42394,277
7.381546,10.124688,278
9.226933,13.216958,279
8.379052,8.229426,280
14.214464,6.134663,281
6.533666,8.428928,282
7.830424,20.947631,283
8.478803,10.274314,284
9.426434,8.229426,285
14.36409,6.334165,286
8.0798,6.832918,287
10.374065,6.433915,288
9.975062,11.221945,289
4.438903,16.857855,290
6.184539,8.927681,291
5.985037,7.830424,292
9.526185,8.927681,293
9.027431,8.179551,294
7.780549,12.668329,295
9.226933,10.623441,296
8.578554,10.473815,297
10.024938,9.67581,298
8.279302,10.473815,299
10.374065,10.374065,300
5.436409,10.723192,301
5.386534,12.219451,302
11.471322,12.76808,303
6.533666,9.127182,304
9.376559,10.224439,305
10.673317,15.710723,306
6.034913,11.17207,307
8.179551,14.962594,308
9.925187,17.456359,309
9.925187,10.773067,310
7.281796,14.114713,311
9.825436,13.865337,312
6.932668,9.975062,313
10.673317,6.433915,314
6.284289,6.433915,315
6.184539,10.32419,316
14.613466,7.780549,317
5.885287,7.032419,318
8.329177,6.633416,319
12.169576,8.977556,320
6.733167,12.269327,321
9.177057,9.925187,322
11.870324,9.875312,323
8.72818,19.900249,324
10.922693,18.852868,325
8.129676,8.578554,326
10.673317,7.930175,327
8.678304,6.882793,328
7.13217,5.835411,329
9.57606,7.930175,330
8.279302,11.17207,331
8.478803,10.224439,332
6.982544,14.014963,333
9.027431,10.822943,334
9.526185,8.977556,335
6.583541,9.426434,336
7.331671,10.673317,337
7.481297,8.927681,338
11.022444,13.017456,339
8.82793,9.725686,340
8.528678,7.930175,341
12.917706,12.069825,342
7.780549,14.36409,343
6.783042,8.379052,344
9.077307,11.670823,345
13.665835,10.024938,346
7.182045,11.870324,347
10.623441,10.473815,348
8.379052,7.830424,349
8.129676,8.279302,350
11.521197,14.014963,351
8.428928,9.725686,352
9.177057,10.773067,353
10.374065,7.481297,354
7.98005,8.0798,355
10.32419,16.05985,356
6.38404,13.915212,357
12.169576,7.880299,358
10.274314,9.67581,359
4.438903,9.57606,360
10.773067,8.478803,361
6.234414,11.471322,362
9.57606,10.174564,363
11.072319,6.733167,364
10.573566,12.967581,365
3.640898,12.269327,366
5.286783,14.164589,367
7.281796,9.975062,368
8.129676,10.972569,369
8.628429,5.785536,370
8.528678,5.835411,371
7.23192,6.084788,372
9.127182,8.029925,373
14.264339,23.840399,374
5.685786,9.975062,375
7.23192,9.326683,376
11.022444,8.478803,377
10.32419,6.034913,378
9.875312,9.57606,379
8.279302,7.780549,380
8.927681,10.773067,381
9.625935,9.975062,382
11.421446,11.421446,383
10.523691,8.877805,384
6.733167,9.027431,385
7.830424,12.119701,386
3.690773,15.511222,387
5.935162,7.481297,388
9.925187,8.478803,389
10.224439,8.428928,390
